x,y
0.0,2.3475780924138774
0.4166666666666667,3.102851178292884
0.8333333333333334,2.8057628873123392
1.25,1.6993846283285134
1.6666666666666667,-0.03747849866674935
2.0833333333333335,-0.4069961769645206
2.5,0.6405797161285693
2.916666666666667,1.282470535195691
3.3333333333333335,1.5700408861432995
3.75,1.9657620027448184
4.166666666666667,1.2603343313413922
4.583333333333334,0.708870121682316
5.0,0.5818720419588768
5.416666666666667,-0.038449303672717816
5.833333333333334,0.3134662178381845
6.25,0.9924004962324114
6.666666666666667,1.0189918192798237
7.083333333333334,1.3519687043368411
7.5,0.7819965585773481
7.916666666666667,0.44018280266320037
8.333333333333334,1.2357700142748944
8.75,0.7962637756241352
9.166666666666668,1.0176658867075146
9.583333333333334,0.6754181707496574
10.0,0.960758265439651
